(chaussures) bata	ba.ta	ɓa1.ta1
console	kɔ̃.sɔl	kɔn1.son1
consortium	kɔ̃.sɔʁ.sjɔm	koŋ͡m1.sɔk͡p5.si1.ʔɔm1
contact	kõ.takt	koŋ͡m1.tak5
containeur	kɔ.̃tə.nœʁ	koŋ͡m1.tɛn1.nɤ1
containeur	kɔ.̃tə.nœʁ	koŋ͡m1.tɤ1.nɤ1
containeur	kɔ.̃tə.nœʁ	kɔŋ͡m1.tɛ1.nɤ1
cor	kɔʁ	kɔ1
cotangente	ko.tɑ̃.ʒɑ̃t	ko1.taŋ1
cotangente	ko.tɑ̃.ʒɑ̃t	kɔ1.taŋ1
coton	ko.tõ	ko.toŋ͡m1
coulomb	ku.lɔ̃	ku1.loŋ͡m1
coulomb	ku.lɔ̃	ku1.lɔn1
coup	ku	ku5
coupe	kup	kup5
coureur	ku.ʁœʁ	kuə1.zɤ1
courroie	ku.ʁwa	ku1.zwa1
cravatte	kʁa.vat	ka1.vat5
cravatte	kʁa.vat	ka2.vat6
cravatte	kʁa.vat	ka2.za1.vat5
crème	kʁɛm	ka2.zɛm1
crème	kʁɛm	kɛm1
crêpe	kʁɛp	kep5
crêpe	kʁɛp	kɤ2.zep5
cresson	krə.sɔ̃	kaj4.sɔŋ͡m1
cric	krik	kik5
cyclopousse	si.klo.pus	sik5.lo1
cylindre	si.lɛ̃dʁ	si1.lɛŋ1
dame	dam	ɗɤ̆m2
décibel	de.si.bɛl	ɗɛ1.si1.ɓɛn1
démarreur	de.ma.ʁœʁ	ɗe2
dentelle	dã.tɛl	ɗăŋ1.tɛn1
dépot	de.po	ɗe2.po1
diesel	di.sɛl	ɗi1.zɛn1
diesel	di.sɛl	ɗi1.ʔe1.zɛn1
divan	di.vɑ̃	ɗi1.văŋ1
do (musique)	do	ɗo1
domino	do.mi.no	ɗo1.mi1.no1
douille	duj	ɗuj1
dynamo	dy.na.mo	ɗi1.na1.mo1
dyne	din	ɗin1
écrou	e.kʁu	ʔe1.ku1
ellipse	e.lips	ʔe1.lip5
ellipse	e.lips	ʔɛ1.lip5
enveloppe	ã.və.lɔp	lop5
équerre	e.kɛʁ	kɛ1
équerre	e.kɛʁ	ʔe1.kɛ
équipe	e.kip	e1.kip5
équipe	e.kip	ʔe1.kip6
essence	ɛ.sãs	săŋ1
essence	ɛ.sãs	ʔɛt5.săŋ1
étau	e.to	ʔe1.to1
éther	e.tɛʁ	ʔe1.tɛ1
étui	e.tɥi	tuj5
fa (musique)	fa	fa1
farad	fa.ʁa	fa1.za1
fauteuil	fo.tœj	fo1.tɤj1
fermeture	fɛʁ.mə.tyʁ	fɛk5.mɤ1.twiə1
feutre	fø.tʁə	fɤt5
fiche	fiʃ	fik5
fiche	fiʃ	fin1
filet	fi.lɛ	fi1.le1
film	film	fim1
filtre	fil.tʁə	fik5
filtre	fil.tʁə	fin1
flan	flɑ̃	fɤ1.lan1
flan	flɑ̃	fɤ2.lăŋ1
flan	flɑ̃	flan1
flan	flɑ̃	flăŋ1
fond	fõ	foŋ͡m1
fonte (de caractères)	fɔ̃t	foŋ͡m1
forme (à chaussures)	fɔʁm	fɔm1
fourche	fuʁ.ʃ	fuək5
France	fʁãs	fap5
frein	fʁɛ̃	fɛŋ1
fromage	fʁo.maʒ	fo1.ma1
fromage	fʁo.maʒ	fo1.maj1
fromage	fʁo.maʒ	fɔ1.mat5
fût	fy	fi1
fût	fy	fwi1
galène	ga.lɛn	ɣa1.lɛn1
gallon	ga.lɔ̃	ɣa1.loŋ͡m1
gamelle	ga.mɛl	ɣa1.mɛn1
gamelle	ga.mɛl	ka1.mɛn1
gant	gã	ɣăŋ1
garage	ga.ʁaʒ	ɣa1.za1
garde	gaʁd	ɣak5
gare	gaʁ	ɣa1
garrot	ga.ʁo	ɣa1.zo1
gateau	ga.to	ɣa1.to1
gaze	gaz	ɣak6
gène	ʒɛn	zɛn1
gicleur	zi.klœʁ	zik5.lɤ1
gilet	ʒi.lɛ	zi1.le1
glaïeul	gla.jœl	lăj1.ʔɤn1
goal	gol	ɣon1
golf	gɔlf	ɣon1
gomme	gɔm	ɣom1
gramme	gʁam	ɣa2.zam1
gramme	gʁam	ɣam1
greffe	gʁɛf	ɣɛp5
guetre	gɛ.tʁə	ɣet6
guide	gid	ɣit5
guidon	gi.dɔ͂	ɣi1.ɗoŋ͡m1
guitarre	gi.taʁ	ɣi1.ta1
harmonica	aʁ.mɔ.ni.ka	ʔak5.mo1.ni1.ka1
harpe	aʁp	hak6
helium	e.ljɔm	hɛ1.li1
héroin	e.rɔ.in	he1.zo1.in1
hertz	ɛʁts	hɛk5
hormone	ɔʁ.mɔn	hɔk͡p5.mɔn1
inox	i.nɔks	ʔi1.nok͡p5
iode	jɔd	ʔi1.ot5
jack	dʒak	zăk5
jambon	ʒã.bõ	zăm1.ɓoŋ͡m1
Jazz	dʒaz	za1
jeep	dʒip	zip5
jerricane	dʒe.ʁi.kan	kan1
Jésus	ʒe.zys	ze1.su1
joint	ʒwɛ̃	zwaŋ1.zwăŋ1
joule	ʒul	zun1
Kalium	ka.ljɔm	ka1.li1
képi	ke.pi	ke1.pi1
kilomètre	ki.lɔ.mɛtʁ	ki1.lo1.mɛt5
Kiosk	ki.ɔsk	ki1.ot5
l‘arbre (de transmission)	laʁ.bʁə	lap5
la (musique)	la	la1
la clé	la.kle	lăk5
la clé	la.kle	lăk5.le1
laine	lɛn	lɛn1
latin	la.tɛ̃	la1.tiŋ1
lavabo	la.va.bo	la1 va1 ɓɔ1
lavabo	la.va.bo	la1.va1.ɓo1
leghorn	lɛ.gɔʁn	lɤ1.ɣɔ1
légion	le.ʒjɔ͂	le1.zɯəŋ1
légume	le.gym	ɣim1
légume	le.gym	la1.ɣim1
léniniste	le.ni.nist	le1.ni1.nit5
lin	lɛ̃	lɛŋ1
lipide	li.pid	li1.pit5
lipide	li.pid	li1.pit6
lithium	li.tiɔm	li1.ti1
lithographie	li.tɔ.gʁa.fi	li1.to1
litre	litʁ	lit5
logarithme	lo.ga.rit.mə	lo1.ɣa1
logarithme	lo.ga.rit.mə	lo1.ɣa1.zit5
loggia	lo.dʒja	lo1.za1
logique	lo.ʒik	lo1.ɣik5
logique	lo.ʒik	lo1.zik5
logique	lo.ʒik	lɔ1.zik5
lot	lo	lo1
loto	lɔ.to	lo1.to1
loupe	lup	lup5
Luxembourg	lyk.sã.buʁ	luk͡p5.săm1.ɓuə1
Luxembourg	lyk.sã.buʁ	lwik5.săm1.ɓuə1
madame	ma.dam	ɓa2.ɗɤ̆m2
magnésium	ma.njez.jɔm	ma1.ɲe1
magnésium	ma.njez.jɔm	ma1.zi1
maillechort	maj.ʃɔʁ	măj1.sɔ1
maillot	ma.jo	măj1.ʔo1
manchette	mã.ʃɛt	măŋ1.sɛk5
manchon	mɑ͂ .ʃɔ͂	măŋ1.soŋ͡m1
mangoustan	man.gu.stɑ̃	măŋ1.kut6
mannequin	ma.nə.kɛ̃	ma1.nɤ1.kɛŋ1
manteau	mã.to	măŋ1.to1
maquereau	ma.kə.ʁo	ma1.ko1
marathon	ma.ʁa.tɔ̃	ma1.za1.toŋ͡m1
marque	maʁk	mak5
marxiste	maʁk.sist	mak5.sit5
mazout	ma.zut	ma1.zut5
mère	mɛʁ	mɛ1
mètre	mɛtʁ	mɛt5
mi (musique)	mi	mi1
mimosa	mi.mo.sa	mi1.mo1.sa1
mine	min	min2
mini	mi.ni	mi1.ni1
minijupe	mi.ni.ʒyp	mi1.ni1.zwip5
mobylette	mɔ.bi.lɛt	mo1.ɓi1.lɛt5
mode	mɔd	mot5
module	mo.dyl	mo1.ɗun1
molette	mo.lɛt	mo1.let5
molette	mo.lɛt	mɔ4.let5
molette	mo.lɛt	mɔ4.lɛt6
monomère	mɔ.nɔ.mɛʁ	mo1.no1.mɛ1
morphine	mɔʁ.fin	mɔk͡p5.fin1
morse	mɔʁs	mɔk͡p5
moteur	mo.tœʁ	mo1.tɤ1
motif	mɔ.tif	mo1.tip5
motocyclette	mo.to.si.klɛt	mo1.to1
mouchoir	mu.ʃwaʁ	mu1.swa1
mouchoir	mu.ʃwaʁ	muj2.swa1
mousse	mus	mut5
moutarde	mu.taʁd	mu2.tak6
moutarde	mu.taʁd	mu2.tat6
moyeu	mwa.jø	mwăj1.ʔɤ1
neon	ne.ɔ̃	ne1.ʔoŋ͡m1
neuron	nø.ʁon	nɤ1.zɔn1
neutron	nø.tʁɔ̃	nɤ1.tɤ1.zon1
neutron	nø.tʁɔ̃	nɤ1.tɤ1.zoŋ͡m1
nickel	ni.kɛl	ken2
nickel	ni.kɛl	ni1.kɛn1
nitrogène	ni.tʁo.ʒɛn	ni1.to1
niveau	ni.vo	ni1.vo1
noël	nɔ.ɛl	no1.ɛn1
nœud (papillon)	nø	nɤ1
note	nɔt	not5
nylon	ni.lõ	ni1.loŋ͡m1
oeuf au plat	œf.o.pla	ʔop5.la1
olive	ɔ.liv	ʔo1.liw1
omelette	ɔm.lɛt	ʔop5.let5
opéra	o.pe.ʁa	ʔo1.pe1 za1
oxigène	ɔk.si.ʒɛn	ʔo1.si1
pagaille	pa.gaj	ɓa1.ɣaj1
palan	pa.lɑ̃	pa1.lăŋ1 
paletot	pa.lə.to	ɓɛŋ2.to1
panneau	pa.no	pa1.no1
parpaing	paʁ.pɛ̃	ɓa1.ɓɛŋ1
pâté	pa.te	ɓa1.te1
pâté	pa.te	pa1.te1
patin	pa.tɛ̃	pa1.tɛŋ1
pedale	pe.dal	pe1.ɗan1
